,Short,Long,Rating
1150,Many pros. One big con,"If you are buying this to listen to music then please don't do it. If you are a bass lover then spend a little more and look elsewhere. It has no punch. It's OK to listen to audiobooks or for morning walks. Also checked for phone calls. The other person could hear me. Works ok for Zoom and Skype also. Battery seems good. I used for 2 hours. But after two or two and half hours the sound starts fading in and out and you have to charge it. Workmanship is good. Design is also good and lightweight. Don't use while riding a bike. If it flies out of your ears you will never find it again. It's so small. My verdict; for music it's a BIG no. For everything else, sure go for it.",3
1151,Amazing as Always.,"Edit1: The right side earbud stopped working after 5 days. Not expected from Redmi. Most of us are facing the same issue so it's your luck if your piece works flawless.🤣I have ordered replacement for the same lets see how it goes. Changing rating from 5 to 3. I'm giving it three just bcz one earbud stopped working else it's a 5 star rating product.
I ordered these on the launch date itself. It took 3 days to get it delivered without prime membership. Thank u Redmi for such awesome earbuds. Sound quality is perfect considering the price bracket.
Bass : 9/10
Treble : 9/10
Comfort : 10/10
Very light in weight so you can wear these for continuous 3-4 hrs without any pain in your ears.
Call Quality : 10/10
Build : 10/10
Battery : I got 90% charged so can't say much about it. After listening for 20 mins, it dropped by 10%. I will edit this point after 2-3 days of usage.
No issues with bluetooth connection.",5
1152,Very Good Product,"This my own opinion(true). The sound quality is good, noise cancellation is best. Also bluetooth connectivity is awesome. It connects quickly to your device. A box comes in which there is an user manual, some earbuds and finally the best TWS redmi earbuds S. They are small in size and in light weight. There is also gaming mode. The battery of earbuds with charging case is 12 hours.
Hope it is useful for you!!!!",5
1153,Waste product,Cheap product.. battery backup is very low around 1.5 hrs,1
1154,This earbud always falls off the ear,"This product told us that the earbud will not be falling from our ear which was false, this product always fell from my ear and I had a constant tension while wearing it if this earbud would fall. The quality of this earbud is very bad and the case can easily be broken. The earbud's multi-button functions are also very bad as there is no volume up or down or forward. Instead, there is play pause, google assistant, and latency gaming mode. The google assistant is useless and the quality of the mic is also very useless. The earbud responds from the phone for google assistant. And gaming mode is also very bad. Overall I want to say that I feel very bad and am regretting buying this product.",1
1155,4/5 they're pretty good,"They're really good actually,
Better than i expected, tbh
Sound quality is good enough, not as good as an overhead headphone though,
But i can only use it for an hour or so, then it starts to get uncomfortable (that might be different experience for you)
I wish they were a bit smaller or different shape, because when i lay down my head on a side, the button gets pressed, and music stops, you just got to tilt you head just the right amount to keep the button from getting pressed,
Wireless experience is as good as it can be,

Good purchase 👍",4
1156,Amazing for this price range.,"This one is good for this price range. Sound quality is nice. But I don't feel much confident in the build quality. And as for noise cancellation, it seems to be fine for Normal phone calls. But for whatsapp call and others like Google meet, the sound is not even clear. I don't know if this is a software problem. However speaking about battery. I never came across a situation where I had to plug it in since normal anyone will not continuously use it instead they keep it back in the case. Hence it recharges again. And the idea where any one of the earpiece can be used make it an amazing product. Certainly we don't need to compare this with flagship products like Jabra and other.",5
1157,Buy at your own risk. It might or might not work.,"Worked well for 2 days. Right bud stopped working after that. No sound. No light. Tried resetting. Tried re pairing. Still doesn't work. Asked for a replacement.

Upadte: Got the item replaced. As of now it's working fine. As long as it works fine, its value for money. Use the trouble shooting ( Hard Reset) if the issue with one earbud arises.

Now that too stopped working. This is really a ln absolute waste of money. Pathetic product.

Now it's working again. It's been a rollercoaster ride with this product. Sometimes it works, sometimes it doesn't. Sometimes it stops working while it is in use, you have to put it back in the case and take it out again for making it work.",3
1158,Value for money but issues with mic,"I am facing some problem with the mic. When I use it for office calls. The frequent comment is we can't hear you well because your voice is breaking.

I have tried with numerous high speed wifi with download/upload speed of 240mbps/40mbps (Ookhla tested) so it is definitely not internet connection problem.

But otherwise, quite goood for work out and mahn that's excellent battery life. So I found it value for money",5
1159,Poor Connectivity and Build Quality,"Review after using for a month: Overall average product, quality in line with the low price tag. Sound and microphone is fine but poor connectivity ruins the experience. The build is not good and does not seem durable.

Pros:

1. Average sound quality, its quite good for the price range
2. Vey less lag, gaming experience is good even without gaming mode
3. Microphone quality is good, been using it for calls

Cons:

1. Poor build quality, the buds do not always fit into the case properly and have to remove it multiple times before charging starts
2. Poor connectivity, sometimes it blanks out for a few seconds randomly
3. Does not connect with windows systems always in one attempt",2
1160,Worst connectivity,IF YOU ARE READING THIS PLS DO NOT BUY THIS EARBUDS! yeah voice calling is bad and there r so many bad things about it but the worst part is it doesn't perform the most imp job and that is it just can't stay connected ! It disconnects automatically and thn again gets connected automatically ! And if u will read some more reviews you will realise that it is happening with every buyer !,1
1161,You can definitely buys,"Overall it's good
At this price point what esle do you want
Its been 4 months and now I am writing this review had no issues
You get 4hrs of battery easily with my buds and upto 11 n half hrs with case don't know about others.
Vocals are great, bass is good
A slight tweak in you equaliser you will get great output out of your buds on Spotify in my case
I have dropped it twice with and without case, a moderate fall, wasn't tampered hard fall, don't know about that
You can buy this easily no better buds are available at this price except realme q I guess
If you see a mesh on the lid in photo its my doing cause it used to have slight wobbling to it in case that's the only problem I have faced till now
And at last go for it and you won't regret until and unless you know how to use and maintain ; hope you didn't find it too long to read and helped to you to some extent 😅 and have a nice day✌️.",5
1162,Good buy,"Good packing and received before expected date of delivery. I have been using this for a week and so far I don't find any issues.

Likes:
1. Good quality sound don't expect like sony or bose.
2. Small in size and easy to maintain
3. We can take up calls from earbuds it self.
4. It works well if I keep my phone in hall and speak from bedroom as well.
5. Battery backup 4-6 hours I get in earbuds it self

Don't likes:
Earbuds magnetic power should have been high so that it will stick strong.

Apart from this i don't see much issues.",5
1163,"Below average,not worth it!","Not comfortable at all,ears pain after using it for 2 hrs,also not good backup,nd while u put it back in the case,to start charging it's not auto adjusted in its position,u have to shake it a litl to start charging, don't know whether a defective product,or its developed in this worse quality by redmi, don't go 4 it, honestly spend sm more nd ul get better air pods around 3000₹,thank you!",2
1164,"Good quality sound, good build, great range","I am NOT an audiophile. Just got these for phone convos and online classes for my children

The sound is clear, the other side can hear us clearly so Mic is good. And the range is surprisingly very good, though not of much use when you have to sit in front of Laptop anyway

I don't know issues the bad reviewers faced...but for this value pricing I am extremely satisfied with the purchase",5
1165,Sleek and Powerful,"Extremely lightweight, and small.
I am impressed with the easy and quick BT connectivity and the brilliant bass calibration. (bass heads will know, what im talking about)

Overall a sleek buy for 1.2K, go for it.

Only con is that this is a Chinese product. Rest its got everything you are looking for like a decent fit and good mic.",5
1166,Best budget true wireless good quality earphones but not the best in the market,"Good quality sound at budget wireless price.
Haven't experienced noice cancellation but it exists.
Water resistant quality is good. Once fell in water but working just fine.
Biggest issue is connectivity and battery draining issue.
Sometimes only one side is connected and if u try to connect other the only other one connect. It makes experience annoying but also some times it goes out of charge and just doesn't charge or start until I keep it charging for few days and randomly it starts working again.
Final words : true wireless at best budget but comes with some catches.
Good audio experience but may also give some issues with charging and connectivity.",3
1167,HORRIBLE PRODUCT. DO NOT BUY AT ANY COST.,"DO NOT BUY. HORRIBLE PRODUCT. Takes forever to charge and doesnt last. Heats up in 20 mins. Since i coukd not return it, i had to throw it in the dustbin only where it actually belong. Why does Mi bring out such cheap and horrible product and cheat customers ?",1
1168,Amazing product must go for it 👍,"I brought this product nearly 20 days ago , it is working fine with great sound quality , today it fell in a bucket full of water and left earbuds got damaged and working with low sound after keeping that earbud in rice bag and I checked it it didnt worked fine after using it for 30 more minutes suddenly it worked well now both earbuds runs same intensity of sound it is really amazing 👍 thought it is not a waterproof it worked",5
1169,All 5 🌟 reviews are looks good to read but please don't fall for positive reviews,"All are good except the Bluetooth connectivity it's very bad.
Don't go for it.
Maybe reviews look good to read but in experience it's not good.
Even replace product has same problem 😡
Finally I got one thing in my mind if you need any gadgets please go for branded and higher value goods not go for cheap products like this",1
1170,Quality Earbuds for this attractice price,"Liked the sound quality. You can't expect BIG BASS with such earbuds however. No issues in connectivity. Very convenient and clean sound. Noise cancellation is better than what i expected. About battery life I'm unable to comment now, but will update soon.",5
1171,Best in this price.,"Great product by redmi I'm very satisfied with my decision I choose this over realme Buds Air Neo and it was really great and more value for money product compare of Realme Buds Air Neo.

Sound quality :- 4/5 🎧

Bluetooth Connectivity :- 4/5 📲

Pairing Very Seamless :- 5/5

Noise cancellation :- 4/5

Fit and comfort :- 4/5

Mic Quality :- 3/5 ( Not good in noisy environment )

Battery backup :- 4/5

Value for money :- 4/5

Overall rating :- 4/5 only because ₹1799 little bit higher side if launch in under 1600 then it's a great deal then I will rate this :- 5/5",4
1172,Value for money,"The case of TWS is just so classy and looks premium and it’s very small in size that you cal easily carry it in your pocket anywhere
Sound Quality- You will not hear that loud sound but the clearity is just next level smooth sound
Noise cancellation - It is just perfect .. once you will place it probably and sound is on you will not hear surrounding sound
Bass quality - It is also good according to me as I am not so fond of bass for me sound quality matters the most .. but for bass lover this is perfect",5
1173,Doesn’t serve the purpose,"It looks good! And was able to hear well but the problem is the mic . People felt as if I was talking from the other end of the room and zero noise cancellation!!! I was not heard but things in background was picked up very well ☹️
Was so looking forward but have to return it now!",1
1174,Value for Money,"These buds are light and sit securely in my ears. They can also suitably block ambient noise without posing any inconvenience even when worn for hours at a stretch. Redmi Buds do not look or feel cheap and the compact charging case they come in is also of fairly good quality.

Overall audio quality is decent for the price

Using multifunctional buttons, you can control music playback & manage incoming calls

*The charging port is the regular micro USB. If your phone has a Type-C port, you will need to carry a separate charging cable for the case.

The charging case and buds together carry 12 hours of backup: the case can charge these buds thrice. around 3.5 hours of playback time on a single charge, which is quite decent. The case takes 1.5 hours to fully charge these buds.",5
1175,Value for money earbuds,"This earbuds are light weight and easy to use
Sound quality is actually nice ... Clear audio profile ... Good high,and mid which a lot of other earbuds lack.... Battery life is also nice ..it last just as long as it claim
Bluetooth latency is low and range is good.... Connecting it to phone is super easy and as u open the case and put it on it pairs automatically no buttion oressing required

Overall its a good deal...",5
1176,"Very comfortable to wear, finely designed and developed","The best part of the product is its design and robustness, I wear these buds while sleeping and don't feel any kind of uncomfort.

I was worried before it get delivered as other reviewers says that it's box is little loose,
Trust me the charging case is not loose at all. It is perfect.

I am satisfied with battey back-up of the product and the way both buds can be used by two different people by different phones.

Talking about sound, trust me this product has better sound (including noise cancellation while on call, bass) than boat rockerz neckband 225 as I already use this.",5
1177,Ok ish !! Good in that budget !!,"Earbuds not syncing while calling immediately !
Volume 8/10
Bass 4/10
Treble 7/10
I felt it had some sound effect like 'concert hall'
Battery 8/10
Weight 10/10 ( so light that you can't feel it in ear)
Not for music lovers with high expectations
Very much impressed with the refund policies
Amount got refund within 1 day
Overall good in that budget !! You may try if u like keep it otherwise return",3
1178,It has stopped getting charged | Very cumbersome to sync it,"This device is just a month old and it has stopped getting charged.

I bought it for my mother and it's so very difficult to sync it. Maybe I should have just got her iPhone and Airpods. They are so easy to work with. This one is just too difficult to sync every time.

Also for me, the earbuds just sleep out of my ear all the time.

I don't recommend to buy these. Rather use a wired one if you don't want to spend.",1
1179,See review before purchase. Not for music lover,"I purchased the item 27th may. I get the product on last Monday and I placed the return request yesterday and returned today.
Because I am not pro gamer. Play game suddenly. I purchased the product only for music. But I am very disappointed.
1. Build quality is good.
2. Music quality is below average. Low bass and treble is average.
3. Not for music lover.
4. Not played games so can’t comment.
5. Not comfortable. I heard almost 3 hours and it’s painful to my ears. If your ears size is big then ok otherwise painful.
6. Battery backup is good.
7. Call quality is good.
8. Pairing is also fast.

This is what I observed in 1-2 days.",2
1180,Value for money.,"After searching lot on Amazon and reading lot of reviews of different brands for Bluetooth earphones..

I get to know about this amazing pair of earphones...festival the quality looks very sturdy and good..... The sound of the ear buds are amazing and also it is connected very fast with smartphone.

I will definitely recommend this to all for amazing quality at very reasonable cost.",5
1181,Super Quality In This Price ❤️,"1st Buyer In Amazon...
Super Quality Product...
No Bass...
But mids & Treble Is High ..
Any Ways Gd Work By Mi ❤️",5
1182,Kaam chalau! DON'T BUY 4 CALLING PURPOSE,"It's been 2 months since i am using this.. have ordered only for Pub G . Rest connectivity & noise cancellation is really the worst in this. Only gud thing about this product is just sound. As everyone mention, while listening to music it stops automatically for a couple of seconds & gets connected again. This problem persist wid everyone. Baaki galti se phone pe baat mat karlena else other person on call gets irate specifically ur gf/bf. Plz. DON'T BUY IT FOR CALLING PURPOSE!",1
1183,Good buds in such a price range,"Overall a good product from MI at 1299/- price range.

Pros:
1. Easy to connect to any bluetooth device for audio
2. Fits easily in ears without causing any kind of pain for hours
3. Bass is okaish
4. Easy to carry charger and charge anywhere
5. Compact size

Cons:
1. Build quality is cheap. Plastic look
2. Bass could have been better
3. Charger quality looks cheap and magnetic power is also not so good. Ear pieces fall off easily and box can easily break
4. Could have been a Type C charging port rather than micro usb as most of the phones nowadays have type c port

If you are tight on budget and need a wireless buds for comfort music, calls, meetings and watching movies.
Go for it. You wont get good quality from a premium brand like MI in this range

Thank you Amazon for a wonderful fast delivery. Hats off",3
1184,"after 1 year of use, do check the edit part","Sound quality 9/10
Mic 6/10 (need to speak louder)
Noise cancellation 9/10
Bass 7/10 (nice descent bass)
Comfortable to ear 7/10
Latency there is still an audio lag in PUBG while playing with moto g5 plus in gaming/latency mode but for movies and stuff they work good.

EDIT: they are very bad after two weeks of use they are creating an irritating problem. Normally you put these buds in case and they start charging but after two weeks they have become loose or something. You have keep adjusting them after putting in box until charging indicator turns on. Although there is magnet that pulls them in the box automatically without doing much effort but it also doesn't work much. You have to set them manually.

Edit 2: they keep on synchronising while listening to anything which makes them very irritating as audio starts cutting in every other second of time period and then you have to shut them down completely and restart again to make them work fine.

Edit 3: they are worst earlier after buying they would work like 3-4 on single charge and now they need charging in every hour.

They are horrible and my ratings has also changed from 5 to 1",1
1185,XIAOMI KA EK KIYA GAYA MAZAK,"Firstly I received the earbuds in damaged condition.
Secondly These earbuds just come with branding of Xiaomi .
Except that there is nothing good about these earbuds
Extremely disappointed with the performance and quality of the device . Infact I would recommend u to go for noise shots as they are much better than this rubbish REDMI EARBUDS S",1
1186,dont buy this,"don't buy this product even if this is in 50% discount.. they are cheating, at time of purchase it was mentioned for refund, once item was delivered only you can replace it....
after few days left piece stoped functioning. One of my friend purchased on same day along with him. his both the piece are not functioning..
this is complete cheating with the customer.. so please don't purchase this product.. this is complete fraud.
this product even don't deserve 1 rating but don't have option to give below that",1
1187,A Genuine Review On Redmi Earbuds S.,"I found redmi earbuds s a bit distorted in higher volumes. I am writing this review after purchasing the same, using it for two days and then returning the product back. It can be used for watching videos on YouTube or talk shows if you are into that kind of stuff. But this is not made for music at all. You will like the mid bass genre of songs but vocals is terrible on this one.
I purchased it as a switch from my wired earphones but unfortunately i am disappointed and been using the wired ones lately.Thanks.",2
1188,"Good at this price tag, but realme buds Q will be better if u can wait.","Review-
Call quality- avarage, mic issue.
Connectivity- Best at this tag, thanks to Bluetooth 5.0
Sound quality- Avarage, small driver 7.2mm, vocal are not that good, bass is decent
Battery life- 2.5 hrs with single charge, USB 3.0 (Need C type) and slow charging
Bulid quality- Poor case quality, cheap plastic used, case lid is very poor quality.
Verdict- If u r looking for tws and having tight budget with some known brand under 2K then go for it, otherwise OnePlus bullet Z is best in wireless catagory. If you can wait for another 1 month then i will suggest wait for realme buds Q, far better option than Redmi eardbud S under same price tag.",4
1189,not satisfactory,"earpods looks good but doesnt fit the ears well and they fall off easily,
sound quality is decent,
connectivity is ok when its fully charged,
these can be mostly used for 1 to 1.5 hrs mostly battery life not so good, when battery is below 50% it has connectivity issues it doesnt respond well to the device ur connected to, not so comfortable to use, it takes long time to charge the pods case completely,",3
1190,Don't buy even on tight budget.,"Pros: Touch feels good. Price. Extra ear pads. Quick connect.
Cons: Fragile. Lag issues. Distorted sound on high volume. Hurts ears after a short while. A

Tested on Android (Mi A2) - Distorted sound on high volume.
Tested on iPad - Had lag issues. Left earbud was producing the sound a little later.
Tested on laptop - Sound quality was okay. Calls were decent.

Had to return for replacement.",2
1191,"If you are just looking music, then buy it. Functional value for this is very less.","1. If you are just looking for music then go and buy it.
2. There are lot of connectivity problem. it disconnects/connects more frequently.
3. For calls it is not at all useful, person on other end may end with lot problem with your clarity.
4. Battery backup for me was not all more it was half to what it is mentioned.
5. Fits to ear but feels like it may fall out anytime.
6. you have to be careful while taking it out from the case , its not easy getting it out from it.",1
1192,Read before buying.,"The product is ok for its price range.
My brother has been using BoAt Rockerzz 255 since almost a year which he bought in a sale at a price of approx. Rs.899.
I prefer those, they're loud, comes with extreme bass(better than this earbuds), less delay(helpful while gaming), durable, affordable and still Worth its Price.
Get those in a sale for cheap.
Thought helping you save a couple of hundreds.
😚
But if u still insist on buying EARBUDS at a CHEAP price, u can go with these.",3
1193,Don't ever buy this pair of TWS!!!,"I'm gonna write an honest review about these pairs of earbuds.
frankly speaking, they're available at a cheap price of 1799/- that's cool, but the problem is that at this price TWS earbuds would always be compromised in quality and Redmi Airdots S makes a great example of that.
I bought these TWS earbuds two times in two weeks. I bought for the first time and I was really disappointed with the quality and sound issues, I thought this was a unit problem and I bought another piece of the same earbuds. Honestly speaking there were no issues with the battery but after continuous 2 hours of usage the sound starts breaking and as it claims 4 hours usage in one go isn't possible as you have to place the earbuds back in the case after 2-hour continuous use to bring it back to normal. Also, there was another incident when the earbuds started making a sound on its own even after being disconnected from the phone.
The low latency mode in these earbuds has no effect at all while gaming.
The case is made of plastic and looks pretty premium at this price bracket, cannot complain about the materials and comfort at this price though.

With more than 40 hours of usage, I came to the conclusion that I should return these earbuds and the chances of them getting deteriorated were pretty high and thus they won't last long. These earbuds have too many problems to be dealt with.

Also, I would suggest everyone not to buy this product, whenever you're getting TWS earbuds at this low prices some of the features would always be compromised. Either you have to invest more to buy a good product or go with the Wireless earphones of the same price ranges.",2
1194,Fell In Love With Earbuds😍😍😍,The Earbuds Are Awesome And The Sound Quality is Very Good...... Connectivity is easy......Bass Is Very Loud.......Vocals Is Crystal clear..........And Overall The Redmi Did a very Good Job and also very reasonable price.........Thanks To Amazon For Just One Day Delivery And Good Product By Xiaomi.,5
1195,Review after using 5 month,"I purchased because I wanted to explore wireless earbud. After continuously using after 5 month,
I would recommend one should purchase this product if you want to listen uninterrupted music & video and use voice assistant.

Coming to phone call this product is worst because I have stop using when I understood there is no noise cancellation while using phone call.
My spouse has got irritated when I use this product over the call. She can hear the car sound or dog barking from 1 km distant.
Just after 5 month one of the side of earbud has stop connected then I had to visit service center.
They couldn't resolve the issue but replace the product.",2
1196,Fine...,"Good but can be better...
You can also use google assistant just by saying,""ok google"" instead of pressing the button twice which I suppose,can be done on any normal earphone and secondly it doesn't allow you to control the volume.Except this,everything is fine with it and you should go for these if you are really looking of an under budget deal.",3
1197,Was happy till one side got muted.,"My actual review is given below but updating because the right side of my buds got unresponsive from this morning. It's just a month passed after I bought this, and was very happy with the value it gave. Hope someone will contact from the seller side to resolve the issue.

Thanks in advance,

Good quality sound and perfect noise filtering. The bass is perfect for music and movie lovers.
Battery life is perfect, as I could use the pair for a full day on single charge of the box.
The grip on ears are perfect and makes no feeling of falling even by mistake. The package has has 3 sized rubber buds.",5
1198,Good 4/5,"Good Device for listening Music.. Bass is clear, You can hear some details in music. Fits perfect in ears, can be adjust with extra rubbers buds which come with packages,
I am disappointed with mic because when ever I call somebody they told me thier in echo and noise (and they didn't know that I am using Rosebuds) I was thinking to return back but I buy it for only listening Music and Mp3 so its work for me
..
One more Con. is that when your phones hotspot is on and you listening music voice is breaks so many time. It's irritate.. So avoid that...

Over all product is Good amd worth for money to just Listen music.. You will enjoy with this device in reasonable rate...",4
1199,Nice earbuds,"Nice product superb fit good sound quality.
.base a little low but all sound quality Is good",5
1200,Don't buy!,"1) Unable to cancel the surrounding noises.
2) phone calls are getting robotic sound and can't talk over the phone calls.
3) exchanged the product with the same reason but the new product has same issues.

I would recommend not to buy this product. The call connectivity for even cheap earphones are better than this one.",1
1201,Not worth buying,"Add some more bucks and buy any other brand. Sound quality is not up to the mark. In name of bass there is nothing in this Earbuds. Even when watching movies automatically disconnecting after use of an hour. Battery backup is ok, working almost 2.5 hours, charging speed is also ok. Very basic ear buds, with having some issues.",1
1202,"No Noise Cancellation at all, Also, Bluetooth issues.","I got the earbuds replaced so basically I used 2 separate Redmi Earbuds, (Just in case if I received Faulty earbuds). But both of them weren't that good either.

1. No noise cancellation at all. In fact people on the other end were able to hear the TV sounds being played in my other room more clearly than my own voice. The mic wasn't up-to the mark at all. I don't understand on what basis Redmi says that it has noise cancellation.

2. Bluetooth issues. The earbuds were so much into connecting themselves with my phone that even after I placed them back in the case & also, turned them off, still when I receive any calls, they would automatically connect with my phone and I have to disable my Bluetooth connection then while on the call. BUT when I actually wanted to use them and tried connecting them it won't work.

Clearly, a defective Product launched by Xiaomi. Used not once but twice, and the same response.",2
1203,at this price it deserve 5 star,"everything is good in this mini bar. sound clarity - 5 star, bass quality- 5 start, noise cancelleation - 4 star.

Also, when i put this for more than 3 hours in ear it starts paining the ear. so would recommend to take out when not needed.

rest everything is as displayed and mentioned in catalouge",5
1204,Good product at cheap rate,I really like the fact that once u remove these out of the case they automatically come on and if u have previously paired it with ur phone they will automatically pair again without having to do anything. They fit nicely in the ears and won't fall off. Sound clarity is nice and if u r looking for budget earbuds go for it. They won't compare to apple but still come cheap and serve the purpose. Overall a good product.,4
1205,"Cannot take calls outdoors or in noisy indoors, One side stopped working, Disconnects inbetween","Product Quality issues: out of one month of usage, left side stopped working, it disconnects in between after 1hr - 2 hr of usage and has to be reconnected.

It cannot replace phone for taking phone calls in outdoor or noisy settings, even slightest of sounds like that of nail cutter is amplified the the receiver of the call. Hence not a work from home device",2
1206,BEST BUDGET EARBUDS!,"Sound Quality-9/10
Mic Quality -8/10
MATTE FINISH-10/10
Premium feel (lookwise)-9/10
Premium feel(touchwise)-7/10
Connectivity-9/10(Although a few people have complained about connectivity issue but it's working perfectly for me)
P.S.- At this price point even if it lacks some features(adjusting volume,skipping tracks,etc.)but the sound quality covers it all up! The songs sound punchier,the vocals and lows and highs and discretion of instruments and truly amazing at this price point!",5
1207,Comfortable fit & Light-weighted earbuds.,"Thank You amazon for such a quick and safe delivery.

These sleek and stylish Earbuds fit comfortably in ears. The thing which I like the most about these Earbuds is its case it is small & that too so light weighted which can easily be carried in pockets & bags. Connectivity with ios & Android devices is quick. The bass is quite decent, sweat & splash proof even battery life is quite quiet what else you need according to the price I found it worth it.",4
1208,"All earbuds stop working after some time. I have replaced this product 2 times, but problem is same","Left earbud stops working after some time. Either charging slot is defected or earbud stopped working. It's not charging. I have replaced this product 2 times because of the same problem. After 2 replacements, the problem is same. Either there is defect in left earbud or in left charging slot. Please don't go for this product. You can check other reviews also. Others also reported that left earbud stops working after sometime. If you're lucky enough, it will stop working within return period. If it stops working after return period, it will be loss for you. Don't waste your money on this cheap product.",1
1209,@amazon better avoid selling Redmi earbud 2C,"Genuine review redmi earbud 2C

Bought this earned for my kid's youtube channel educational interests. Bought at 1099 with amazon voucher.

Everytime got a defective product only.

1st time - left side ear bud stopped working after 3 days

2nd time - right side bud stopped working after 1st use.

While keeping inside case, it is not charging. Secondly it is not switching on. So obviously not connecting too. Tried reset procedure as instructed by redmi, holding for 15~20 sec multi option button, but no use.

Better avoid buying Redmi earbudb 2c . A product everyone failing symbolizes no quality check.

Every time a product is defective shows the quality of Redmi, china. Off course it's made in China Aug 2020 batch.

@amazon better avoid selling Redmi earbud 2C",1
1210,Good earphones in budget,"After using these earphones extensively for a while, I would say that the quality at which these earphones are being sold is good. It is easy to pair with Bluetooth, the charge lasts for a long time and the outer casing is sleek. I charge the earphone casing for 20 mins and it lasts for a long time.

The noise cancellation effect is not that great but what can one ask at such price point. Do buy it because it has the best sound in this price range. It might take a while for you to get adjusted to wireless earphones. Be cautious when you are moving out as these could fall with improper care.",5
1211,GAME IS CHANGED.. GO FOR IT GUYS COZ' SIMILAR RESULTS WOULD COST YOU >3000 ANYWHERE ELSE,"Punchy Bass, Trebles are great. Instruments sound distinctive. I Previously used to tuned my equaliser for getting all these results in balance and VOILA, This little thing is already giving all that without tweaking any equaliser. GREAT WORK XIAOMI, I'm Happy with my money spent good.

4 Stars for sound quality because the moment i switched from my mi handsfree to this beauty the first thing I observed that mids are a bit muddier , which general listeners won't observe over long use. I think i need to rouse the drivers before writing in depth comparison with wired handsfree.

EDIT: MIDS ARE IMPROVED TO AN EXTENT AFTER DRIVER ROUSING (CONTINUOUS PLAYING).
All the people crying out for bad calling experience, it'll need an explanation as I've used this on two devices, i.e. Redmi note 3 with BSNL and Poco X2 with Jio, And the person on other side was complaining about a jitter in voice only when i called him with RN3. With Poco X2, Calls were magnificent, which means that poor quality might be an issue with your device and operator's signal quality+strength.

Connectivity wise its alright, pairs in a couple of seconds with phone and themselves, nothing to review about.

FINAL VERDICT
You won't get this quality, experience and feature anywhere in whopping ₹1800/-. I Feel bad for all those who reviewed it as a bad product. Believe me everybody wants to compare its quality with wired headsets which is technically wrong and and and stop comparing this with Apple's airpods or Samsung's earbuds.
YOU ARE GOING TO GET THE BEST TRUST ME.",5
1212,Value for money go for it,"Good to use TWS earbuds at current price range
No connectivity or lag issue found.
Battery backup is good u can watch atleast 2 hd movies in one charge i.e play back time of upto 3 hours at 60% volume level 3d sounds effects are up to marks
Over all u get upto 5 to 6 hrs of battery backup at 1 charge for normal calls, video calls, music with partial usage at 50 % volume level.
Ear fitting is good doesn't pops out of ears even if ur doing your daily gym activities or running
Over all value for money at this price range.",4
1213,Very uncomfortable,"Your browser does not support HTML5 video.
 The case is preety non sturdy with its loose magnetic grip and how a white mark appeared on it just after a mere two to three days. The sound quality of the earbuds is good and the battery is fine I guess but it only give 6-7 hours of backup with the case and I also happened to receive some disturbances of sound breaking when I was listening some track on it when I was within 5 meteres of my phone. The buttons on the earbuds are really very bad I feel like crying whenever I accidentally press the button for too when I'm relaxingly listening on it and the button also is really uncomfortable wherever I press it I feel like I'm forcing the earbuds to stay in my ear which feels very uncomfortable.",3
1214,"Looks,works and fits good but sound is bad.","Fit is awesome. Both buds connects to mobile in 2 seconds. Battery is good.
Only problem is sound. Music is completely bass less. Feels like you are using 100 rs. earphones.
Build is nice. Usable but not for music lovers.",2
1215,Its Buggy,Buggy is the word for it.. may be I got a defective piece.. while taking slack calls the volume drops drastically .. buds would stay connected to my mac even when they are inside the case .. my ears were paining after wearing it for 3-4 hours continuously..,1
1216,Fall in love with Redmi earbuds S !!,"Redmi Earbuds S is again a wonderful product from Redmi. The earbuds sound quality is awesome. It comes with true notice cancellation. Bluetooth connectivity is without any lag. As soo as the lil earbuds comes out of case, they automatically gets connected with the Bluetooth enabled device.

Redmi you always rocks!!",5
1217,Super...!,"Redmi earbuds.
To be honest didn't expected them to be that good.
These buds are light weight. They fit perfectly in the ear.
Bluetooth connectivity is quick and the range is also too good.
Now talking about the sound quality,
The treble is very good and the bass quality is quite good.
Overall the mixture of treble and bass is well balanced.
They are ear friendly means they do not cause pain to your ears.
And the best thing about these earbuds is their pricing.
Happy with them.",5
1218,Waste product,"Dont purchase this product at all, dont even think of wasting money on this, its better to purchase something else atleast headphones of another Brand. I was able to use them when i got it because it was already charged now when the battery in it is low, its not charging at all, i am trying this since yesterday and now a single bit got charged... Now i dont even have the option to return the product and get my refund.
I request Amazon to refund my money so that i can purchase something else.",1
1219,Hassle Free Product. Good sound quality. Good battery life. Affordable.,"Great little piece of tech. I use it to listen to lectures, conduct lessons, listen to audiobooks on the go, for gaming. It works really well on all those contexts. I have never drained the battery fully yet! Though I use it only 4-5 hours max a a stretch (by habit).

One caveat, it does tend to shift around if your are exercising. I lift weights and during intense workouts, when I wince, I end up loosening the pods from my ear!",5
1220,Gaming mode - Best TWS under 2000,"Best TWS under the price point of 2000. Good bass without overpowering vocals. Extremely good for listening to music during your workouts without the interefering wires.

Decent option for taking calls. The highlight is the gaming mode which reduces latency compared to other TWS under 2k.",5
