,Short,Long,Rating
14533,Good,Bass not satisfied.,3
21272,Worth the money,Good,4
12277,Waste of money!,very delicate..worst material build up...must be used carefully...or else it will break...,1
17748,Decent product,It's not a branded mixer grinder. But value for money,3
1434,Affordable Product - Value for Money,"The Earbuds from MI comes with affordable price and is having better overall sound quality compare to other earbuds of similar range. The main reason for giving three stars are two drawbacks in earbuds.
1. The voice quality in audio calling is not upto the mark. However voice quality in video calling is somehow good.
2. When connected with TV (say MI TV), there is a time lag in audio output.

Other than above two drawbacks, the product is a value for money.",3
2787,Move from android to iPhone but not impressed,"Move from android to iPhone but not impressed.
1. Fingerprint reader not available
2. Battery Just ok
3. Camera Quality Good but Not the Best
Very disappointing with weight, this iPhone is too heavy.",3
2785,value for money,we can't save song in iphone like a android phone.,5
12490,Useless product,One side earphone have no sound,1
7869,Awsome...!!!,No have 16 gp SD card. Why like this with out memory card i put and hold in show case uh?,5
20977,Nice product,It can be considered an entry level wearable tech. Don't expect precise outputs. For first time buyers of smartwatch it is the best option. And for me an extra point for being an Indian company.,4
3583,Descent Product,"Its good for home use only, that means if you don't need a regular use of it.
Its is absolutely not economical for regular use since cartridge is of high cost",4
2558,Facescanner of no use during Covid. Tatti phone.,"No fingerprint. During covid, with mask on, face scanner serves no purpose whatsoever. Tatti phones.",1
12039,Unsatisfactory,It's very bad it is good for only a single week after that it is toooo baddd,1
17488,Nice,Good in woking condi,3
12323,Terrible product,"Don't buy this earphones, Flipkart not supporting for this product.",1
7245,Used camera,"Very good camera but canon is simply loosing its credebility but making silly changes in the camera to restrict this camera for professional use .

This camera is not suitable for studio photography as canon has removed the the universal pin from the camera hotshoe ..

Shame on canon ...",1
4250,Good value for money,It's a pretty good value for money pd. Very convenient for both laptop and phones. Although I haven't benchmarked but it provides good transfer speeds. I use it mostly for media transfer and speeds are good for it.,5
11673,Worst experience ever!,Worst product i ever purchased,1
5908,Very good memory,Good product and high speed data copy,4
8732,Go for it,Best in the price. The stand is also heavy and perfect to withstand the monitor weight. Easy to install. Andbthe joystick like button is also handy to setup everything even without the DVD.,5
19574,Not good,Good,2
6593,Not satisfied. Heats up like iron box.,Product looks good and is easy to use but the weight does not match the specs mentioned. It is very light.,3
22100,Good quality product,God product,4
3656,Good hp original product,"Excellent product good pricing , hp as always the cartridge didn't last too long",4
7922,True value for money,Good picture quality...,5
6333,Defective item,"I purchased the product in October 2019 as a standby mixer grinder. I hardly used the product about 10,12 times during the past 15 months.
Now suddenly the mixie is not getting started and a burning smell is coming from inside indicating burning of the motor
Since the motir is having a warranty period of 5 years kindly arrange repair",1
6906,Good çondition,"Quality is low , i guess . Especially jars & most importantly juice jar 🧐🧐",5
14975,Decent product,Satisfactory on the level of sound but the design is so poor that does not fits on ears also overall look is not good,3
10745,Very poor,Don't buy. Go for other phones under this budget.,1
15786,Fair,good,3
19032,Moderate,Not working even 5 days,2
9404,Value for money,The product quality is so good and sound is also great am grateful as a customer of amazon,5
9719,Hhhj,Osm Sound,5
162,"If have stock single pin with 3lines, let me know","Useless, where as I required 3 lines plug in were as I got double pin with 2lines,which is only support to sound system, not mobile phone. I want single pin with 3lines which has to connect proper to cell, n even sound is also very much lowered, very bad experience",1
20776,Nice,Ok hai,3
17638,Nice,"Plastic quality is not so good, please consider bajaj.",3
20040,Does the job,Boat watch is good but not excellent .,3
20298,Decent product,The activity tracker are not perfect,3
16859,Good quality product,Good item for valued money,4
19665,Just okay,"In this price range it is good product.
i purchased it in Rs. 1999",3
17791,Just okay,Some heating issues and burn smell is coming,3
5192,Adapter missing.... Wasted my money,"There's no sd card adapter present inside the package and I paid roughly Rs 500 extra for it....
Now I don't know where the cover is so I can't return it!

Waste of money!",1
14269,Slightly disappointed,very loudly while grainting,2
10603,Useless product,"Charger meeting problem and set is heating, don't buying this product",1
6118,Don't buy Prestige items which doesn't have service backup,"Noise level is so high and 3 jars fit properly but small jar fit loose in it. It was of no use. And the piece was not a fresh one maybe it's a show piece or something like that it's used one..
I put for return and I got my refund.

My sincere request to all don't ever purchase some products like electronics in online. Prefer to buy in stores.
Even though price is low when compared to stores.",1
6717,Bad product,Its great product by prestige. Got great value for money of Arround Rs 2800. Very useful for daily essetial needs... just amazon had taken a long time. Otherwise product is fabulous,1
1348,Good for listening music but not for calling.,"This earpiece actually is good from a quality perspective.I'm rating 3 because the earpiece doesn't fit properly into our ears and secondly this is good for listening music but when you try to use this for calling the Mic pics all the sound around us which makes the listener uncomfortable who is on call on the other side with us.
If these 2 issues are sorted out this is definitely a very good product.",3
16584,Good choice,Good audio quality 👍,4
3705,Ok type product,It doesn’t have wifi connection should include in this so air printer and other options goes off,3
1900,Total waste of money,"It's a waste of money... I received a defective product once. I replaced it and again I received a defective one. It's a waste guys. Don't buy this. Rather opt for a pricey one, which would be good in long run.",1
10708,Horrible,Camera quality very bad,1
10106,Don't waste your money,Very bed phone,1
992,Sound quality is good,Amazing product and completely worth the money. It's been one year since I buy this and still it is working amazingly and sound quality is good according to the price. Happy purchase,4
3793,Suggested not to buy,This is one of the worst products. It just worked once as soon as I bought it. Then stopped working. Waste of time and money!,1
6193,"Good, received the item fast and it works efficiently","Bought the grinder with huge belief in the brand of Prestige, but the product was nowhere to the standards.
It makes too much noise.. unbearable

The product was faulty and the coupler came loose within 2 months of purchasing the product..

Worst experience was yet to come..
their service was pathetic..to replace the coupler (for which I had to pay) I literally had to call the customer service DAILY..they took 15 days to replace it and the entire process has made me lost all my faith in ""PRESTIGE""

Do Not Buy This Product",5
22039,Worth the money,Best watch.,4
20170,Does the job,Product is good if u need huge features then i recommended for chinies watch under 700,3
20707,Just okay,No cloudface in d boat progear app.only inbuilt 3 watch faces are available,3
13443,Bad quality,It's blade is not good,2
8078,Decent monitor for the price.,---,5
13142,Bad quality,Low quality product. It stopped working within 7 months of purchase.,2
11524,Very poor,audio quality is bad. it pinup in ears. dont buy. try another brand.,1
10554,Did not meet expectations,Go micromax in series,1
3919,Waest of money 🤬🤬🤬🤬🤬,This product is waest of money not working properly not good service with half catrige lots of problems,1
10950,Don't waste your money,Camera 📷 not good,1
17124,Good,Good Product,3
17615,Decent product,Expect level not completed.. But it's okay,3
2579,Superb phone with extra ordinary features,"Superb i phone 11 with superb features ...
I m loving it...
Black colour is the royal one...
N offcrse the camera quality is awsme one...
Face recognition is too gud..
Go for iphone 11. Specially black colour one which i bought from amazon..amazing phone👌👌👌",5
18349,Not good,"The tracker doesn't shows real time results.
Most of the times I have observed that the step count I took and the step count the device has almost a descripancy of around 1500",2
5568,Value to the buck.,This was super fast at storage as it have greater read and write speeds.,5
11067,Absolute rubbish!,Slow and wrost performance.,1
19015,Moderate,Waste product,2
20088,Does the job,Nice product...👍,3
633,Boat Rocks,"Good packaging n on time delivery by amazon.Good sound quality , good noise cancellation n excellent bass quality for the price range.Cable is quite long n sturdy too.Highly recommended from my side",5
6544,Most Ideal for metrocity homes,Known constraint: jar and mixers' plastic holders are broken during milk cream whipping,5
12285,Hated it!,bad quality,1
12119,Worst experience ever!,Not satisfied with the product...i didn't expected this type of product frm Flipcart,1
9128,Good product value for money,good product,5
11381,Useless product,It is a very bad product. I feel very guilty to buy this product. Total wastage money.,1
11016,Did not meet expectations,Battery fastly discharge,1
17644,Does the job,Built quality is ok,3
25,Editing this review after 10 months. 🎧,"Editing this review after 10 months, so starting with the pro's

So the Audio quality is good you'll get surrounding feel where it's needed & if you are bass lover then you will like it very much, watching Hollywood movies on it feels great.

Build quality is also good, most of the components made with plastic and then some metallic & the cushions are soft and their material quality is also good.

Now the cons

even though its cushions are soft this headphone is painfull for your ears if you are using it continuously, headphone fits much more tighter on your ears than it has to be so thats why...

I was using this headphone with Lenovo vibe K4 note and suddenly it stopped working with it, it was working fine with every other device but stopped working on my device, even my device working well with every other headphones even i tried another bassheads 900 and it was working with my device but my bassheads 900 stopped working with my phone... i know its strange.
Then few months later right side of headphone stopped working and then soon after left side gave up.

Boat seems very good build quality and sound quality but i experienced 8 out of 10 headphones of boat stops working after some period, But the best thing is if your headphones gets any issue within 1 year then you'll get brand new headphones from Boat, you just have to register product and ask for replacement with details of your headphone issue.
Even i got replacement for my product & it's been 2 years since i purchased this headphone and they are working super fine although i had to replace them once because of issue mentioned above.",4
12812,Could be way better,One side stopped working after one month. Raised warranty claim. No response,2
9154,Super,Super product.sound quality is soo good. I never expected this in this price. Worth for money I was using this since 2 months.after that I was writing this review.,5
821,Kids love it for online education,"I was searching for a good India Brand Headphones for my kids online education purpose. Come across BoAt Headphones, great look, light-wt, Super Bass, Mic sounds perfect. Very satisfied with boAt BassHeads 900 On-Ear Wired Headphone.
Amazone delivered before the scheduled delivery date. Simply go for it.",5
2085,incrediable camera,From 5s to 11,5
4811,May go with it,Convienent size and dual use. Gets heated quickly in some ports.,4
18949,Slightly disappointed,Cost of printing is way too much,2
823,Mic stopped working after 15 days,"Looks and sounds great for the price.... until it works. Unfortunately, mic stopped working for me 5 days after Return Window closed...which incidentally is total working days of 15 days...not worth buying such a product.

Doesn't work on my 2 laptops or any one of 3 phones in the house!!!",1
529,very good sound quality with deep bass,"its a very good headphone,bass is extra ordinary,try it with bass boasted songs,its deep! sounds like you heard it from a 1000w subwoofer system.noise cancellation is good.the wire and connection joints are perfect.

however the mic isnt that perfect but managable.

for music,movies its really good",5
13976,Bad quality,Mix grinder was not well...it's not working its too bad quality waste,2
11481,Worthless,Very bad quality of wires and speakers are broken,1
17777,Does the job,Not bad,3
1745,Decent for the Price,"Sound Quality is good, though many Indians might feel the bass to be a bit shallow, and the instrument seperation could've been better. The fully charged earbuds lasts for around 2.5-3 hours and the case roughly charges the buds 3 times. Connectivity is great no complains there. All in all these earbuds are decent for the price.",5
18399,Could be way better,"Purchased 1 week back, Sensor not working.",2
11313,Absolute rubbish!,I like it 2 much,1
20894,Very Good,An very good product,4
18730,Expected a better product,"Not upgrade to higher version
Many problems in watch please give watch after with all bugs fixes
V 4 TO V5",2
7989,Battery not working,I love this camera,1
14543,Does the job,its ok but bass is too high sound quality not good .,3
3947,HP DeskJet 2331 All-in-One Inkjet Colour Printer,"It was beyond my expectation, very compact and useful for home usage.",4
2009,Nice earphones,Great wireless earphones using daily for voice calls and have a long battery life the case portable and lite.,5
631,One of the worst headphones,The product is as per the price. Not reliable. The sound quality is poor. When a plug it in it automatically opens the music app in mac. It stops the video abruptly then it starts/stops/starts/stop/ even if there is light movement in the wire. Totally unusable. Same thing happens when plugged in mobile as well. It opens Google assistant automatically. Very hard to use and useless. Do not buy.,1
19163,Could be way better,Battery down very quickly so is not better,2
5335,Brilliance.,Works brilliant on my Moto X4.,5
6972,Good laptop under Rs. 40K,Lids do not fit well,5
18830,Not good,"Average, not bad",2
19345,Slightly disappointed,"Doesn't support fast charging, doesn't met 10000 battery life, waste of money better to go with mi charger it use lg lithium battery and supports fast charging and good battery life",2
2813,Best phone ever Thanks to Amazon and Seller and Apple I am very happy,Mind blowing and best iphone 11 in medium budget got it for 55k only 128 gb purple Thanks a ton to Amazon and seller and Apple I would highly recommend others to buy you will really enjoy,5
11924,Not recommended at all,Sound is not up to the mark,1
3637,Useless product,"Waste of Money, Don't buy this product.
1600 rs ink can produce only 25 print then ,again we need to buy new ink rs of 1600 for just 25 print.",1
1624,USELESS AFTER 6 MONTHS,both airbuds battery doesn't last for 30min the battery in the case swollen up and made a crack in the case. just a use and throw product in 6 months .,1
1094,I’d recommend these,"These are the first true wireless I’ve purchased so I don’t really have anything to compare it with. The sound is great, good bass, good noise cancellation (I almost got hit by a car cause I was walking on the road and didn’t hear the horn. Adhere to their advice of wearing just one while on the road 😬). There’s definitely connectivity issue but it’s rare. Seldom while using both together, using single will definitely lag occasionally. Also, these can be used while walking, running or doing high intensity workouts, they fit snug and won’t fall off for sure. They do last 3.5-4 hours on a single charge. I’d recommend these if on a tight budget.",4
12810,Could be way better,Just ok,2
8269,Best gaming monitor under 10k rupees,"Brightness not equal in entire the display,In White Background Left Side brightness little higher than the right side.its very uncomfortable to work on the background. IPS(In-plane switching) is a screen technology for LCDs. They are widely know for displaying consistent, accurate color from all viewing angle. but in this product its doesn't works great.",5
16796,Pretty good,Nice product good sound,4
7076,Second hand camera,"Your browser does not support HTML5 video.
 It’s been 1 week only n laptop stuck on bios update loop.i m not able to see window screen. Bios update is never ending. I don’t know it’s laptop problem or sellers problem. This is my second laptop from same seller.",3
20533,Fair,Very fast,3
17151,Good,It’s just okay.,3
21333,Delightful,The product is worth the price. A decent one.,4
9001,In total lg is good,"This is a budget segment monitor.
There is no problem so far.
The display is more than average in this segment.",5
17495,Nice,Not bad,3
13151,Moderate,Value for money product,2
5111,Pathetic,Bought the card as I wanted to upgrade the storage capacity of my dashboard camera. The card memory went kaput after 3 days of usage. Sadly due to lockdown and all didn't get to use it sooner or would have returned it to Amazon. Now the card rests peacefully in my dustbin.,1
6928,Worst product don't buy,"Jars or not making batter properly. Mixwe is shaking too much while using.
Mixer grinder is not up to the mark and not working properly.
Is it possible to refund money?",1
13540,Bad quality,Quality is average,2
7617,Loved it,Good for beginners. Not a professional camera.,5
15874,Value-for-money,"These earphones are a true value for money products. They are the best that you can get in this price range. I bought them for Rs.375. The only this that seems not up to the mark is the packaging of this product. Except for this everything about the earphones is great. Following the best qualities that I got to know for using them for about 3 weeks-
1) They have a perfect fit, in almost all kinds of ears.
2) Minimalistic looks.
3) They have a well-balanced sound output and that extra bass giving a nice little thump in every drop.",4
5389,Very Good,The Only Card I shortlisted after lot of research.,4
11099,Very poor,Bad experiment,1
3876,Nice printer and better price...,Nice printer and better price... But cartridge high cost,5
15103,Does the job,Only. Good,3
15734,Decent product,Good... But volume key is missing,3
21296,Nice product,Nice I got 1999rs,4
19258,Expected a better product,After 2 day its lost one backup light indication.company argued that it has fast charging but I feels like a normal charger.,2
8263,Picture perfect,"This monitor displays faint vertical white lines at 75hz which are clearly visible on blue and yellow/orange colors. The reason seems to be the cheap IPS panel. Google for ""vertical lines 75hz"" and you will get many results on this topic. The right side of the monitor is bit yellowish as well. Thankfully backlight bleed isnt that visible.

Edit : After 2 years, monitor is now showing a horizontal line in the middle of the screen. My previous LCD monitor lasted for 8 years. Product is of cheap quality.",5
978,Adequate sound quality. Very poor build quality. Don't get.,"Low quality build. Starts breaking after a couple of months.
Headphones clamp is too tight.
Would not recommend.",1
20008,Nice,Nine good quality,3
21928,Good quality product,Good product but need some improvement in activity tracking.,4
12495,Hated it!,one side stopped working in 1 month...horrible earphone..no life ...worst purchase,1
1805,Amaaazing deal❤️,"Sound quality is best at this price range.
Wonderful noise cancellation.
Bluetooth connectivity is superfast.
Microphones could have been little better.

Seller has delivered the product on time and with full care. Awesome seller for this product.

Overall must buy at this price range.❤️❤️",5
2763,Amazing Service!,Its obvious how amazing this product is otherwise you wouldn't be here reading this review. I would like to shed some light on how amazing Amazon is. I got the product 24 hours in advance in perfect condition during heavy monsoon season. Amazon really surprised me and did an amazing job! No issues with the product. Kindly read all return and refund policies before ordering. Amazon is really transparent and all the information you need is in this page. So read intently and hopefully you won't have any further questions. Just add to cart and don't think too much!,4
10852,Absolute rubbish!,Bakwaas phone,1
2370,Read review'sbefore buying,"The most flowed Apple product,
Received Apple 11 (128GB)
on Saturday 8th August .
And review in 9th August ,
Please spare a movement before buying The Apple product.
The touch and proximity sensors won't work .
The wifi and touch have huge response delay ,
The sellers have should have mentioned that product sold can't be replaced (other than contacting Apple support center )
The worst experience of what could have ever experience for Appple products.
Trust me don't ever buy Apple products from this platform ,The seller has no accountability and platform is not transparent on return details .
Most un trust worth experience",1
4743,Best in class,Best ...and Ecoomical ..very fast transfer of data ..,5
20500,Fair,Rate is costly,3
2761,Love for iphone,I had to wait a longer time to get it but it was worth the wait this is my second iphone and as always i m in love with it,5
20147,Fair,"Drawback
1.only 1.3 inch Display size
2.No Call taking facility
3.Low storage space for Dial Screen,screen saver
4.Dial screen Settings facility low",3
18265,Bad quality,"Sensors give false reading.
Specially Spo2 and BP.
COMPLETELY VARRY FROM REGULAR MEASURE MACHINE",2
3641,Good,"2 year rugged daily use and still going well, cartridges are expensive though, if you use B&W it will work out",5
6242,Poor Quality material has been used,"Prestige mixer faulty item. Requested for replacement. Coupler is detached from the mixer. Not used once also. It is almost 20 days. Request for replacement made several times. Kindly replace the same at the earliest.
Pl revert to my email I'd vinaya3@yahoo.co.in
& my mob.no.is 9969227319",2
4791,Good,Good,4
2461,Amazon is trustworthy,I have received my iPhone 11 128GB black colour. My first online order for mobile and I was very worried that whether I would get the genuine product or not or may be they will send me defective damaged phone. There were so many doubts on my mind. But Iam a happy customer and Iam loving this iPhone. Thank you amazon and seller.,5
10771,Horrible,Slow work,1
20295,Just okay,Good looking and baat product,3
21219,Really Nice,Cool,4
11093,Terrible product,After return period mobile is restarted automatically. Getting message as 'find device closed unexpectedly' don't know what to do,1
18207,Not good,"Its a Half waste of Money....
Wait untill Price Drop...",2
13704,Moderate,Defected product,2
20905,Good choice,"Good enough for the price 1999.
Dont buy if the price is more than 1999",4
14241,Slightly disappointed,"Heavy sound
Jars are too small
Lids are tight to open..",2
13437,Bad quality,Waste of money,2
6555,Very Good Jar except small grinder has only 2 blades!,"The juicer jar and juicer filter totally odd designed if once go little improper locking inside commander house wife can't remove the juicer filter back it stays intact inside the juicer jar .this mistake is made commanly to any person, repeatedly",4
15524,Nice,very nice sound,3
398,Okay product but could have been better,Sound Quality is not good if you want it for listening music or watching movie...but it is okay for attending online calls for those professional or students who would like to use it frequently for online meeting or training purpose.,4
16367,Delightful,Truely awesome ❤️❤️,4
19100,Bad quality,Not recommending better option available,2
4469,"Fairly decent, but lackluster write speeds","Works decently for data backups, but expect a write speed of anywhere from a few hundred kbps to a few mbps, but nowhere near the read speed advertised.",4
15393,Nice,"Good Product
but If any problem happens It's headache to claim warranty",3
3302,Hp DeskJet 2131 printer is very good and super product Amazon delivery is super,"nice product and super quality and easy use lightweight
Printing is very super scanning and copy first printing first I am really like this product because easy use and this which are very smooch and the first look is very beautiful and this product price range that product is is good and trending fast I am very like this product
The Amazon packages very super and one problem no this in this package that is a problem budget friendly printer",5
17808,Fair,Damaged,3
4871,Poor built,Built is very poor. Can easily break,2
534,Ok ok type.... For this price,Its ok for a full star but in my previous experience with other headset i am not fully satisfied with its performance. And you use continuously for a long time it gives you enough pain because it's tightly sit on your ears..,4
16966,Delightful,Awesome,4
18416,Slightly disappointed,"Using this app for one month now. This is a blunt review without any prejudice. The watch is descent in this price range. Works fine and have a battery backup of upto 8-9 days. But, the worst thing is the boat app. The app is pathetic, doesn't work properly, restarts the app on every sync. Many a times your step counts will go back to previous count. Overall, not recommended until boat fixes the app.",2
19504,Expected a better product,Slow charging,2
16813,Good quality product,"Good quality ,I like it.",4
19512,Not good,Pawor bank is not good only 2 hors..working Ambrane,2
14436,Good,"sound quality is moderate but bass is not good as Boat Superbase Headphones 220... plug is like low quality... noise cancellation is very bad... mic is very big , it's not small... Bass is very low in quality... it's looking very good but not good as it looks",3
6347,Hectic Product because of fault in zar,"I like the model but I didn't received any warranty card only the manual is there, but than too it is not stamped. Pls send the another stamped manual or pls send any customer service agent to do stamping on my manual book. Thank u",3
17128,Nice,Good product,3
19422,Slightly disappointed,They charging can not store in power bank they can store in half an hour,2
9239,Blast home with zebronics,Very well best quality and good sound... And bass highly,5
11937,Useless product,not good product sound quality not good for watch movies,1
22075,Good quality product,Worth the trend,4
20795,Decent product,Good...,3
4178,Good Product,One end of the device is C type and other end is Normal USB. This should have been clearly shown in the picture of the device so that the feature is properly understood by the purchaser.,4
22141,Nice product,Nice,4
21547,Nice product,Nice product,4
20903,Nice product,"Nice watch, weight is too much less compare to others",4
10107,Don't waste your money,Bad,1
18468,Slightly disappointed,"Smart Watch device is ok. The key feature someone will look at is in terms of different analysis the app can provide using data captured by it and the user interface. Device and App always goes hand in hand....

Boat ProGear app is not up to the mark....it requires lots of improvement...

This looks very basic and it's pulling the value of device down. I'm a big fan of boAT and hoping to see improvement in app in the net release....",2
7890,1 star less because Memory Card and Bag is not included.,This has very good features and good value for money. Ideal for those who would like to click good quality photos.,4
2330,Ease of use is an issue in some scenarios,"Too pricey,

Gifted it to sister. Before making a whatsapp video call I have to call her first becuase sound of video calls is too low for one to notice. Many other Ease of use issues, this was just a practical example.

You charge 65k for a phone and cannot provide basic things and annoy people.",3
6927,The knob in the mixie is not working,"Super good product.
Lovely colour, light weight,
Easy to manage,
Grinding is good",2
7628,Canon 1500D,"Very handy, picture quality was super, easy to transfer the picture and videos.

Easy to understand the options.

My first DSLR camera.",4
5798,Features,The space available for storage is 60GB,5
6958,A budget Windows laptop to get going,Good but i got cracked mixer,3
14699,Does the job,Nice,3
19066,Slightly disappointed,Everything is good about this speaker except one thing... It's auto off feature. It gets disconnected automatically after every ten minutes...and it is so frustrating and making this product useless. So i use this speaker by connecting through aux cable,2
6691,I received 2nd hand product alredy used grinder,Working absolutely fine after 2years.... So really worth.... Quality is good,1
1912,Good quality and sound,"The product is over-all a great deal, the clain of charging is true it last for upto 12 hours including case and sound quality is also good. I am basically using it for attending online lectures and int hat scenario it performs really well. Great deal at offered price.",5
15179,Does the job,"Sound and build quality is awesome. But it feels pain after sometime, Earphones are not comfortable. Most Important thing is it's not suitable for PUBG got firing front and sounds from back.",3
17522,Decent product,Good product and delivery also good,3
8090,Go for it. Gaming/Movie/Reading/Browsing,Good to have this one,5
19725,Just okay,It's price is worth but No use.,3
16860,Nice product,Good,4
1068,Poor sound,"Pretty impressive at this price point. Sound is average but considering the price we can't complain much. Pairing is seemless, after first pairing, you just have to take the earbuds out of case it will connect automatically within couple of seconds. Bass is average, if you are expecting thumping base then please consider buying some other earphones. Case and earbuds are little slippery so be careful while handling. All in all, good earphones at this price point, offcourse for true wireless, you have to compromise on sound.",1
10216,Unsatisfactory,betri problem,1
19083,Bad quality,Its charging wire is not working 👎,2
14766,Nice,Product ok but wire not strong (cut),3
10072,Did not meet expectations,I did not like tge camera.. also display is bad...,1
610,Good Product,"This is Good Headphone as it have good Mic, Sound Clearity......I use it for Office Work and Listening Music, Movies......It is great specially for WFH Peoples now a days for Attending Online Meetings, Kids Classes",4
9610,Good,Good,5
4011,"Easy to use, compact",Easy to setup. Easy to use. Good quality. But the cartridge price is high,5
115,Not durable at all,Bough this product only 2 months back and it has started giving me troubles. I am facing this issue of bad sound quality since last 2 weeks and I have not received any response from BOAT. I have tried registering the product on their support website but haven't received any registration code or not even an acknowledgement. Very unhappy with the product and BOAT service.,1
3453,Awesome product,Easy to use and amazing and amazing and amazing useful for every day print users,5
9895,heavy bass,Total good but high volume is only 60 percent and please increase volume in updates,5
12678,Not good,"Camera nod good
I am a not happy",2
9260,Good,Nyc,5
10189,Worst experience ever!,Display is poor,1
13581,Moderate,Product is good but jar cup not pit 1or2 damaged product is just below average,2
20137,Just okay,It's a simple and sober smart watch at a best price,3
10369,Waste of money!,After 9 days of buying this phone it shows the real face the phone is highly heating and camera is very poor,1
3860,"A nice Quality, good working Product",It's really good. This products is very nice. Thanks Amazon to sell this type of products,5
7005,Totally loving it.,"One of the worst product, unable to return as the date is over. They HV given defective piece. When I start grinding, immediately the reset button comes out and and unable to reset as this button does not work again",5
3713,Not good at all,"Not handy, cartridge is very small",2
689,Good,"Good, but I can't use in one plus phone.
Good for other systems. We are use in computer . Good sound.",4
11652,Not recommended at all,Ir doesn't fit to ear at all and fall frequently.very disappointed with the design.,1
22212,Value-for-money,Nice .. Value for money,4
9038,VERIFIED PURCHASE - 5 STARS,Best item so far.,5
9985,Five Stars,Awesome product in low range,5
11786,Did not meet expectations,"Sound quality is awesome, and mic is also good it not have noise Cancellation but superb QUALITY",1
5891,Worst,Worst,1
4236,Gets disconnected automatically when transferring big data files.,"Your browser does not support HTML5 video.
 Just bought 2 x128 gb pendrive the speed of data transfer is satisfying but the device gets disconnected in between while transferring data , removing and reconnecting is required.
The device shows 115 gb storage of which 3 gb is used by the app.",3
898,AMAZING,"Wow what a product. I have used it for a month or so and it is great. Sound quality and bass is amazing .I use it for meetings so I wanted a nice and cheap headphone for me. And it is 100 percent worth its price. The mic is also working very nicely. So, definitely go for it!!!",5
21113,Worth the money,Super,4
4014,Good,Good,5
14915,Good,Not bad,3
7499,Excellent camera,"Its my first DSLR , I m very happy with this, auto focus mode take easy photo without any complications
image stabilizer is also good over all 5 out of 5",5
9262,Super,"Its worth of price, sounds good could be better but I'm happy as the price goes.",5
19009,Could be way better,Printer is good but scanning Time and ink cost is headache,2
9742,Value for money.,"Bought it for 2950 in diwali sale..
Build quality is too good as i expected for this price and sound quality also very good..Bass is bit low..overall value for money..got delivered in 2 days thank u amazon",5
16055,Very Good,"Audio quality Good Enough,, Value for money,,",4
4332,Good but not tough,"Speed is good, connectivity is also good. But it is built with cheap plastic, you can when break it with 2 fingers.
Wasn't expecting this from such a Brand.... Disappointed.",1
9279,Zebronics ZEB-BT6590RUCF Review after 1.5 Years,"Best music system in this price, you can buy this, much better than other cheap music systems",3
20916,Delightful,Display size is small,4
2257,Microphone Not Working,"I am brought new iphone 11 ,but there is microphone it's not working and I am facing big problem, there is no any pick up service from the end of amzon and iphone and I am very disappointed of the service of both company.",1
21925,Good choice,"It's all features is ok but BT connectivity is too poor
It's sleeping mode work in only night if u r sleeping in day there is no any record of that time
That is not good 😔",4
2923,Superb phone,First impression this phone is looking so awesome. Face unlocking feature is very fast any light & dark condition. Camera quality superb just like to say small or mini dslr. Screen quality is also best and overall this phone is too awesome.,5
12971,Could be way better,Sound is so cheap quatity. Bass is like using 60-70 Rupees earphones. But Built and design is like premium quality.,2
20451,Does the job,"Look wise awesome, I eayed 3 because of below reasons.
When the ProGear App is opened in the Phone then only it working which is wrong, it should work even though we close the app because app is always running in background and Bluetooth is on.
Due to always ON the ProGear App, mobile battery life is 50%.
Pulse and blood Pressure is not tracking accurate,
Also sleep tracking is work only in night, ehen you slept in day it didn't track for me.
Software/Farmware must should be update to fix these issues.",3
17446,Decent product,Super,3
17431,Does the job,Average product,3
19477,Bad quality,Yesterday I received this product ....it's works properly but today it's not working properly at all.... instead of increasing battery it's decreasing the battary ...I don't know how ?🤨,2
846,My review,It is good for a budget option but it has really small ear cushions and using for long time may give you ear pain I would suggest you to have another boat headphones if you can afford them you can go for this if you are stucked on your budget,4
14180,Expected a better product,"Motor sound 🙄, some times its nit grind",2
10759,Utterly Disappointed,Disply is very slow touch screen very slow camra also not very good,1
12753,Not good,"Sound is not good...
Processor is slow",2
8967,lg 22mpvq,"Satisfied with the product functionality and Amazon delivery.
Speakers would have got 1 star more in the review.",5
16353,Delightful,"Delevery is fast
Build quality is great
Sound is average",4
11572,Hated it!,very very worst,1
20373,Does the job,The size of the display is soo small,3
21273,Good quality product,Nycc product,4
7918,Good camera,"Likes
Build Quality
Picture Quality in Day light
WiFi Enabled

Dislikes
Battery",5
13520,Expected a better product,Very much shaking,2
16170,Really Nice,Good product,4
339,Very disappointed with this product,"Not as good as expected compared to boat rockerz 600. The head band is not comfortable, the plastic part looks cheap. The only thing I like is the foldable part, very compact and the cable is very good. Over all it's below average. Don't buy it if the price is higher than 700 - 800 at this price you can get a Ubon wireless headphone eith sd card slot and fm plus the sound quality is almost the same like boat bassheads 900.",3
19049,Could be way better,"In first three months it was going all good with this speaker, but after that it wasn't responding while its charging, after that automatically started to trun off within a few seconds whenever I switch it on. ☹️

I've claimed for repairing or replacement to the company lets see what happens..",2
17093,Nice,product is good jars are tooo small,3
7620,Good,Awesome,5
